category_title       ,price,characteristic_1,characteristic_2,characteristic_3,characteristic_4,characteristic_5,characteristic_6,characteristic_7,characteristic_8,characteristic_9,characteristic_10,flag
a                    ,82   ,$42.18M         ,$1.52B          ,$4.13B          ,$258.29M        ,$8.7B           ,$14.05M         ,$1.89B          ,$612.59M        ,$20.5M          ,$2.17B           ,false
fringilla rhoncus    ,18   ,$1.1B           ,$209.97M        ,$814.18M        ,$4.27B          ,$75.98M         ,$11.89M         ,$2.9B           ,n/a             ,$269.2M         ,$189.23M         ,true
donec ut             ,3    ,$2.92B          ,$40.19M         ,$415.62M        ,$83.39M         ,$191.03M        ,$3.97B          ,n/a             ,$1.59B          ,$290.7M         ,$28.08M          ,false
vitae nisi           ,63   ,n/a             ,$112.5M         ,n/a             ,$191.36M        ,$7.26M          ,n/a             ,$33.71M         ,$191.21B        ,n/a             ,n/a              ,true
eget tempus          ,70   ,$1.28B          ,n/a             ,$458.32M        ,$147.55M        ,$47.7M          ,$21.32B         ,$184.64M        ,$226.66M        ,n/a             ,$398.74M         ,true
magna ac             ,86   ,$171.9M         ,$415.27M        ,$6.96B          ,$68.38M         ,$1.15B          ,$1.91B          ,n/a             ,n/a             ,$52.36M         ,$865.57M         ,true
non                  ,95   ,n/a             ,n/a             ,$75.46M         ,$2.51B          ,$89.72B         ,$700.07M        ,$164.16M        ,$3.28B          ,$317.19M        ,$2.06B           ,true
maecenas ut          ,39   ,$42.8M          ,$30.84M         ,n/a             ,$202.5M         ,$1.03B          ,$14.44B         ,$427.83M        ,n/a             ,n/a             ,$2.69B           ,false
aliquam              ,6    ,$905.46M        ,$26.86M         ,n/a             ,$5.56B          ,$328.94M        ,                ,$59.23M         ,$323.6M         ,$887.55M        ,                 ,false
lorem id             ,5    ,$14.4B          ,$6.43B          ,$440.37M        ,$1.65B          ,$13.92B         ,$52.6M          ,$47.44B         ,$277.68M        ,$53.93M         ,n/a              ,true
nullam               ,71   ,$411.91M        ,$304.81M        ,n/a             ,$30.92M         ,$506.02M        ,$10.31B         ,n/a             ,$1.17B          ,$28.08M         ,$64.41M          ,true
lacus                ,5    ,n/a             ,$12.84B         ,$700.07M        ,n/a             ,$560.24M        ,$31.1B          ,$441.95M        ,n/a             ,$437.27M        ,$1.6B            ,false
felis                ,20   ,$2.16B          ,$7.84B          ,$7.04B          ,$43.94M         ,$826.02M        ,$92.42M         ,$1.98B          ,$16.17B         ,$340.82M        ,                 ,false
lectus               ,53   ,$139.32M        ,$1.57B          ,$975.82M        ,$1.28B          ,$51.25B         ,n/a             ,$188.85M        ,n/a             ,$2.6B           ,                 ,false
vel                  ,93   ,$377.45M        ,$2.86B          ,$980.68M        ,n/a             ,$2.36B          ,$1.05B          ,$754.28M        ,n/a             ,$107.61M        ,$16.39M          ,false
mi in                ,87   ,$101.07M        ,$10.69M         ,$24.88B         ,n/a             ,$233.13M        ,$1.44B          ,$13.85B         ,n/a             ,$893.94M        ,n/a              ,true
id ligula            ,4    ,$546.87M        ,$243.18M        ,$5.56B          ,$320.19M        ,$548.61M        ,n/a             ,$70.59M         ,n/a             ,$2.52B          ,n/a              ,true
ante                 ,27   ,$1.15B          ,$393.25M        ,$3.07B          ,$452.19M        ,$37.85B         ,$11.74B         ,$107.61M        ,$1.23B          ,$6.9B           ,$171.9M          ,false
diam neque           ,15   ,n/a             ,$296.92M        ,$14.24M         ,$3.5B           ,n/a             ,$465.13M        ,$3.61B          ,n/a             ,$2.39B          ,$410.12M         ,false
nisl                 ,59   ,n/a             ,$1.81B          ,$633.57M        ,$2.21B          ,n/a             ,$7.62B          ,$1.64B          ,$8.57B          ,$43.74M         ,                 ,true
nec dui              ,49   ,$1.81B          ,$115.12M        ,$175.91B        ,$628.6M         ,$280.36M        ,$1.89B          ,$101.07M        ,$6.35B          ,$12.7B          ,$11.98M          ,true
lacus purus          ,44   ,$7.96B          ,$14.73M         ,$315.92M        ,$89.72B         ,$2.33B          ,$698.59M        ,n/a             ,$3.46B          ,$27.68B         ,n/a              ,false
sem sed              ,75   ,$707.33M        ,$980.54M        ,n/a             ,$4.69B          ,$89.72B         ,$16.17B         ,$4.18B          ,$2.59B          ,$175.91B        ,n/a              ,false
nulla                ,21   ,$509.01M        ,$83.66B         ,n/a             ,$245.88M        ,$250.2M         ,$1.95B          ,$6.76B          ,n/a             ,n/a             ,n/a              ,false
dui luctus           ,91   ,$4.6M           ,$1.8B           ,$431.8M         ,n/a             ,$71.65M         ,$8.43B          ,$5.48B          ,$117.69M        ,$164.46M        ,$27.06B          ,true
nisl                 ,78   ,$84.17M         ,$14.6B          ,$6.33B          ,$448.07M        ,n/a             ,$22.17M         ,n/a             ,$8.44B          ,$672.68M        ,$38.48B          ,true
hac                  ,96   ,$477.6M         ,$4.11B          ,$251.61M        ,$5.46B          ,$48.54M         ,n/a             ,$24.37B         ,$1.21B          ,$108.41M        ,$14.16B          ,false
amet                 ,77   ,$852.24M        ,$49.09M         ,n/a             ,$557.54M        ,$42.78M         ,n/a             ,n/a             ,n/a             ,$122.4M         ,$323.37M         ,false
scelerisque          ,12   ,$309.27M        ,$35.86B         ,n/a             ,n/a             ,$53.7M          ,$1.27B          ,$10.83M         ,$224.11M        ,$491.02M        ,$457.06M         ,true
nisl duis            ,45   ,$1.61B          ,$25.59B         ,n/a             ,$240.54M        ,$3.49M          ,$1.09B          ,n/a             ,n/a             ,$3.04B          ,                 ,true
imperdiet            ,16   ,n/a             ,$905.46M        ,$87.17M         ,$1.71B          ,$30.59M         ,$2.27B          ,$23.23B         ,$3.7B           ,$7.7B           ,$221.12M         ,true
velit                ,27   ,$488.08M        ,$9.56B          ,$194.72M        ,$1.21B          ,$136.4M         ,$1.35B          ,$695.78M        ,$1.36B          ,$13.16B         ,$43.29B          ,true
et                   ,69   ,$18.34M         ,$420.14M        ,$16.21B         ,$217.64M        ,n/a             ,$427.83M        ,$153.37M        ,$8.61M          ,$28.65M         ,n/a              ,false
sapien dignissim     ,1    ,$52.45B         ,$240.93M        ,$4.59B          ,$58.01M         ,n/a             ,n/a             ,n/a             ,$117.99B        ,$3.79B          ,$3.93B           ,true
congue               ,98   ,$3.3B           ,$62.74M         ,$28.57B         ,$118.92M        ,$162.87M        ,$733.08M        ,$741.77B        ,$120.57B        ,$2.15B          ,n/a              ,false
in                   ,39   ,$5.07B          ,$89.57M         ,$72.33M         ,$1.16B          ,$1.87B          ,$1.63B          ,$763.42M        ,$264.56M        ,n/a             ,                 ,true
morbi vestibulum     ,85   ,$14.46B         ,$146.63M        ,$15.33B         ,$388.89M        ,n/a             ,$38.75M         ,n/a             ,n/a             ,$122.51M        ,$155.64M         ,true
libero rutrum        ,8    ,$2.33B          ,$401.18M        ,n/a             ,$882.34M        ,n/a             ,$4.28B          ,n/a             ,$1.63B          ,$5.09B          ,$27.14B          ,false
at dolor             ,1    ,$8.55B          ,$26.04B         ,$311.18M        ,$84.71M         ,$4.08B          ,$631.2M         ,$20.79M         ,$264.56M        ,$1.24B          ,n/a              ,true
nulla dapibus        ,81   ,$771.24M        ,$532.37M        ,$51.73B         ,$5.53B          ,n/a             ,$1.37B          ,$8.36B          ,$350.95M        ,$1.02B          ,n/a              ,true
amet erat            ,39   ,n/a             ,$417.14M        ,$2.08B          ,$1.49B          ,$121.47M        ,$6.35B          ,n/a             ,$378.29M        ,$82.91M         ,$428.97M         ,true
nibh ligula          ,49   ,$216.91M        ,n/a             ,$228.5M         ,$183.18B        ,$920.44M        ,$54.66M         ,n/a             ,$27.89B         ,$323.94M        ,$10.54M          ,true
ut                   ,95   ,$3.56B          ,$1.82B          ,$904.29M        ,$1.81B          ,$42.18M         ,$6.7B           ,$14.06B         ,$27.49M         ,$6.69B          ,$5.53B           ,false
odio porttitor       ,91   ,$2.43B          ,$11.18B         ,n/a             ,$3.01M          ,n/a             ,$20.23B         ,$37M            ,$3.87B          ,$437.26M        ,$63.23M          ,false
platea               ,22   ,$2.76B          ,$330.01M        ,$293.41M        ,n/a             ,$4.88B          ,$10.19B         ,$14.08B         ,$2.84B          ,$6.2B           ,$4.27B           ,true
lacinia aenean       ,13   ,n/a             ,$184.04M        ,$12.41B         ,$2.92B          ,$239.77M        ,n/a             ,n/a             ,$836.2M         ,$3.23B          ,                 ,true
felis                ,74   ,$172.23B        ,$585.08M        ,$461.83M        ,$2B             ,$5.37B          ,$446.33M        ,$12.06B         ,$2.38B          ,$228.02M        ,$320.35M         ,false
platea               ,69   ,$842.24M        ,$717.59M        ,$772.65M        ,$2.86B          ,$742.65M        ,$37.26B         ,$1.68B          ,$251.83B        ,$3.11B          ,n/a              ,false
aliquam              ,76   ,$2.79B          ,$335.5M         ,$2.16B          ,$1.01B          ,$14.79B         ,$795.07M        ,$1.97B          ,$8.51B          ,$1.21B          ,$121.47M         ,true
fermentum            ,17   ,$53.4B          ,n/a             ,$1.83B          ,$8.18B          ,$233.83M        ,$771.24M        ,n/a             ,n/a             ,$1.12B          ,$134.2M          ,false
sit                  ,36   ,$1.6B           ,$64.56M         ,n/a             ,$6.33B          ,$1.2B           ,$517.13M        ,$696.23M        ,$1.35B          ,$1.58B          ,$974.73M         ,true
curabitur convallis  ,7    ,$14.31B         ,$2.77B          ,$78.51B         ,$1.33B          ,$1.68B          ,n/a             ,$808.23M        ,$4.13B          ,$323.02M        ,$17.47B          ,false
etiam                ,22   ,$38.48B         ,$3.09M          ,$1.03B          ,$170.17M        ,n/a             ,$106.79M        ,$71.65M         ,$520.01M        ,$70.95M         ,$13.87M          ,false
imperdiet            ,99   ,$2.47B          ,n/a             ,$12.19M         ,$32.91M         ,$479.46M        ,n/a             ,$6.43B          ,$725.48M        ,n/a             ,$171.11M         ,false
diam                 ,32   ,$1.05B          ,$1.9B           ,$33.03B         ,$341.22B        ,$24.37B         ,                ,$319.55M        ,$44.38M         ,$48.52M         ,$16.53B          ,true
accumsan             ,34   ,$3.17B          ,$53.98B         ,$371.14M        ,$133.53M        ,$346.82M        ,n/a             ,$298.66M        ,$222.28M        ,$2.28B          ,$1.4B            ,true
mauris vulputate     ,29   ,$7.2B           ,$87.31B         ,$235.35M        ,$184.25M        ,$442.3M         ,$2.9B           ,$8.37B          ,$103.28M        ,$54.78M         ,$685.28M         ,true
integer              ,10   ,$283.59M        ,$56.05B         ,$10.72M         ,$814.95M        ,$130.19M        ,$3.68B          ,$1.9B           ,$1.21B          ,$3.72B          ,$127.33M         ,true
non interdum         ,93   ,$47.08M         ,$4.74B          ,$43.94M         ,$774.83M        ,$123.34B        ,$4.14B          ,$2.03B          ,$59.33M         ,$347.55M        ,$5.22M           ,true
ac tellus            ,35   ,n/a             ,$587.6M         ,$395.17M        ,$983.39M        ,$1.85B          ,$4.75B          ,$855.12M        ,$465.13M        ,n/a             ,                 ,true
eget                 ,1    ,$1.9B           ,$556.9M         ,$12.38M         ,$73.43M         ,$2.09B          ,n/a             ,$4.36M          ,$1.27B          ,$3.06B          ,n/a              ,true
nunc commodo         ,41   ,$216.49M        ,n/a             ,$137.52M        ,n/a             ,$84.51M         ,$3.86B          ,n/a             ,$1.08B          ,$9.71B          ,$47.06M          ,true
tellus               ,60   ,$2.76B          ,$18.77M         ,n/a             ,$72.51M         ,n/a             ,$3.69B          ,$48.81M         ,$888.48M        ,n/a             ,$205.6M          ,true
sed ante             ,21   ,$40.78M         ,$132.49M        ,$145.98B        ,$151.22M        ,$58.87M         ,$1.4B           ,n/a             ,n/a             ,$34.48M         ,n/a              ,true
faucibus             ,96   ,n/a             ,$5.35B          ,$648.9M         ,n/a             ,$2.66B          ,n/a             ,$600.46M        ,$32.98M         ,$34.01M         ,$3.65B           ,true
